X,Y,ID,Longitude,Latitude
563884.356762531,844146.450851152,"75",-8.4207940288,7.6364170387
563760.405178087,843719.092473632,"76",-8.4219229873,7.6325529814
563295.219503046,847225.949251061,"77",-8.426098013,7.664278988
563521.098702124,847966.971823418,"78",-8.42404101,7.670978978
563513.500311917,847959.557619137,"79",-8.424109994,7.670912007
563215.642039997,847682.660780034,"80",-8.426813996,7.668411015
563871.327763297,844162.019849534,"81",-8.4209119622,7.6365580224
561257.883881495,840983.113363561,"82",-8.4446429741,7.6078350004
561463.325195977,839481.930326489,"83",-8.4427980334,7.5942539703
561907.438096378,842374.61817367,"84",-8.4387380071,7.6204139739
561796.645025342,842241.702481346,"85",-8.4397440031,7.6192130148
561792.773493369,842246.997960358,"86",-8.4397790395,7.6192609593
561793.101602615,842250.649427491,"87",-8.439776022,7.619293984
561833.738766491,842305.541898416,"88",-8.4394069668,7.6197900251
561859.393045683,842335.756510012,"89",-8.4391740337,7.6200630236
562038.108974699,842407.740160612,"90",-8.4375529736,7.6207120344
561799.5211897,842233.968595993,"91",-8.4397180192,7.6191430259
561782.624777511,842251.849771421,"92",-8.439870989,7.6193049643
562346.785778927,842877.997339754,"93",-8.4347489756,7.6249619946
562536.91274831,843157.505369253,"94",-8.4330219682,7.6274879649
561614.790083276,839651.055181756,"95",-8.4414229821,7.5957819913
562627.025270412,840047.053694009,"96",-8.432242032,7.599352012
562596.556761672,840155.025268434,"97",-8.432516959,7.600329006
562627.591759277,840038.093628243,"98",-8.432237003,7.599270959
562620.857633349,840040.410658139,"99",-8.432298023,7.599291997
562621.635510646,840039.420110349,"100",-8.432290983,7.599283028
562626.383598221,840035.775366578,"101",-8.432247983,7.599250004
562152.812527504,840553.215659144,"102",-8.4365349915,7.6039359905
561935.268323203,840650.445471471,"103",-8.438505996,7.6048180182
561350.648836334,839433.812505825,"104",-8.443820039,7.593820039
561531.253785689,842582.527528115,"105",-8.442146005,7.62229898
561625.065953941,842712.881641276,"106",-8.441293985,7.623476973
561611.259380251,842808.161529529,"107",-8.441418037,7.624338968
561595.665095462,842841.751257917,"108",-8.44155902,7.624642979
564661.727948438,844084.367829957,"109",-8.4137470275,7.6358459797
564658.9590212,844094.538850023,"110",-8.4137720056,7.635938013
564640.942565403,844119.830852718,"111",-8.4139350336,7.6361670066
564655.767224416,844089.335915975,"112",-8.413801007,7.6358909905
565102.543418006,845494.669465701,"113",-8.409733018,7.648597034
565105.795349091,845536.790861185,"114",-8.409703011,7.648977991
565105.910247436,845533.918341574,"115",-8.409702005,7.648952007
565241.601543096,843909.380498666,"116",-8.4084919933,7.6342560165
560554.546118195,842037.679698363,"117",-8.4510070179,7.6173819881
561889.276867208,840645.076073246,"118",-8.4389229957,7.6047699898
562019.366568835,840616.833455413,"119",-8.4377439972,7.6045130007
562092.566076571,840482.053200346,"120",-8.4370819945,7.6032930147
561721.106386112,840949.988909031,"121",-8.4404439759,7.6075299829
561780.520578852,842256.054088163,"122",-8.4398900159,7.6193430182
561773.242307563,842257.592168477,"123",-8.4399559814,7.6193570159
561810.061004607,842276.877369719,"124",-8.4396219626,7.6195310242
561889.645956181,842313.352070741,"125",-8.4389000293,7.6198600139
560966.194673309,842387.554819634,"126",-8.447271036,7.6205419656
561528.705896268,842421.998932202,"127",-8.4421709832,7.620846983
