X,Y,ID,Longitude,Latitude
561388.549601252,842732.703314749,"1",-8.443437992,7.623659028
563940.49142852,846283.998683879,"2",-8.4202590119,7.6557509881
563488.933605438,842159.127747158,"3",-8.424403025,7.618445987
565462.17735601,845928.53834146,"4",-8.4064670093,7.6525169984
566233.831639219,846387.53160505,"5",-8.3994650189,7.6566589996
564033.523408408,846248.966498441,"6",-8.4194159601,7.6554329786
563229.571045053,844431.136249325,"7",-8.4267269913,7.639000006
563488.282045424,842155.475816913,"8",-8.424408976,7.6184129622
563484.859538781,842156.694452107,"9",-8.424439989,7.6184240263
562790.987798856,843282.772367143,"10",-8.4307170287,7.6286180131
563269.134796544,844039.377143345,"11",-8.4263730235,7.6354559697
562106.710361351,840376.932744502,"12",-8.4369550087,7.602342004
561416.847747198,839940.344307673,"13",-8.4432140272,7.5984010007
561371.573891225,840153.21381923,"14",-8.4436219744,7.6003269944
561791.763048937,840135.407504432,"15",-8.4398129862,7.6001610328
561979.104410825,841553.736495248,"16",-8.438097965,7.6129880268
561976.131266847,841543.557901994,"17",-8.4381250385,7.6128959935
560758.000428414,839309.226661008,"18",-8.4491940122,7.5926999655
564186.301827442,843944.872382212,"19",-8.4180590138,7.6345900353
563868.087188104,844193.077267036,"20",-8.4209409636,7.6368389837
564020.144694308,844144.418740461,"21",-8.4195629787,7.636397006
563855.300544531,844186.536379269,"22",-8.4210569691,7.6367799751
563971.192425318,847072.743435068,"23",-8.41997101,7.662884994
563862.038032383,847458.542939714,"24",-8.420955967,7.666375972
563351.007122012,847816.281395583,"25",-8.425585041,7.669618009
563871.102025323,844164.892193983,"26",-8.4209139738,7.6365840062
563953.802287402,844260.079099303,"27",-8.4201630391,7.6374439895
564176.387676869,846383.044188999,"28",-8.4181190282,7.656643996
561228.213870476,840975.995616188,"29",-8.4449120332,7.6077709626
561827.454771253,840169.499141584,"30",-8.4394890256,7.6004689839
561284.723701869,839405.094256095,"31",-8.4444180038,7.5935610384
562037.65957976,842412.048553451,"32",-8.4375569969,7.6207510103
562036.223641797,842414.25213332,"33",-8.4375699889,7.6207709592
563059.455789561,840703.652239286,"34",-8.4283140209,7.6052859798
561386.783410991,840160.526164609,"35",-8.4434840083,7.60039296
561185.003112545,839145.604189321,"36",-8.4453250095,7.5912150275
564245.472706095,844156.333703768,"37",-8.417519974,7.636502031
564660.629710273,844082.930000086,"38",-8.413757002,7.6358329877
560691.2291675,841765.008145874,"39",-8.4497710224,7.6149140205
560842.488606259,842264.799735479,"40",-8.4483939596,7.6194330398
561072.376808742,842418.872862523,"41",-8.4463080391,7.6208240166
561182.573088126,842506.463076503,"42",-8.4453079943,7.6216150168
561855.571948585,842309.323203903,"43",-8.4392089862,7.6198239718
560861.184851617,842220.047440506,"44",-8.4482249804,7.6190280262
560814.921976898,842167.697029923,"45",-8.4486449976,7.6185550354
561042.299354292,841965.336576742,"46",-8.446585983,7.616721997
561220.50529522,839502.070204842,"47",-8.4449990373,7.5944389589
563457.269538489,841587.742490125,"48",-8.4246969782,7.6132780407
563133.794782997,841876.302084815,"49",-8.4276260342,7.615892021
561808.290800519,842280.192527597,"50",-8.439637972,7.6195610315
561711.508381682,842565.404336019,"51",-8.4405120369,7.6221419871
561474.476975477,842818.9378835,"52",-8.4426579718,7.6244380418
561380.830226228,842732.248538728,"53",-8.4435079806,7.6236550044
561341.590144539,839792.213932047,"54",-8.4438979905,7.5970619917
561423.335790257,839870.482567107,"55",-8.4431560244,7.5977690052
560890.610973321,841374.888775228,"56",-8.4479679912,7.6113829762
562395.797553308,841838.848040653,"57",-8.4343169723,7.6155620255
560825.346529508,841518.863868708,"58",-8.4485579934,7.6126860268
565753.670367979,846422.132452781,"59",-8.4038179927,7.6569780149
562365.062636999,842314.083025088,"60",-8.4345899709,7.6198610198
563887.397649693,842045.458125875,"61",-8.4207920171,7.6174130011
561489.166942401,839461.289796134,"62",-8.4425640106,7.5940669701
561690.326223387,840270.587238176,"63",-8.4407309722,7.6013849583
561379.735308624,842720.969683792,"64",-8.4435180388,7.6235529967
563374.547268311,841664.684484603,"65",-8.425445985,7.6139749959
562370.598767029,842294.407989422,"66",-8.4345400147,7.6196829882
561630.35168895,842714.991973974,"67",-8.4412460402,7.6234959997
561509.626595795,842841.751306517,"68",-8.4423390403,7.6246439852
563174.372438305,841137.50965254,"69",-8.4272670373,7.6092089619
563205.181626046,841115.004759883,"70",-8.4269880038,7.6090050302
563439.302257634,841659.349597905,"71",-8.4248590004,7.6139259618
561915.832562272,842624.039779888,"72",-8.4386589658,7.6226699632
562141.333486026,842586.748013502,"73",-8.4366150387,7.6223299932
561865.463366479,842338.859440338,"74",-8.4391189646,7.6200910192
562062.409135625,842462.37992606,"75",-8.4373320267,7.62120598
561612.744620273,842603.417843068,"76",-8.4414069727,7.6224869862
561850.049895334,842311.197150882,"77",-8.4392590262,7.619840987
564418.030685829,844037.16639885,"78",-8.4159570001,7.635422023
562842.317104626,842421.832049962,"79",-8.4302619752,7.6208299678
562818.194611648,842478.521218099,"80",-8.4304799885,7.6213430241
566766.484040502,846755.100573286,"81",-8.394631008,7.659976976
560573.436443307,840973.399602905,"82",-8.450848013,7.607755037
560703.645607628,839284.731004703,"83",-8.449687036,7.592479019
566055.697293389,846317.634785201,"84",-8.401080966,7.6560290158
565559.224935195,846421.084855916,"85",-8.4055809584,7.6569709741
565561.314420083,846420.976536399,"86",-8.4055620153,7.6569699682
566210.881119701,846397.563171643,"87",-8.399672974,7.656750027
562606.336424619,842285.431921462,"88",-8.4324029647,7.6195990015
562620.075802586,842404.739111775,"89",-8.4322769847,7.6206780039
562882.824702647,841143.648323306,"90",-8.429910019,7.6092679705
561617.153648313,842861.572554969,"91",-8.4413639735,7.6248220168
561318.101709922,840212.849806375,"92",-8.4441060293,7.6008670405
565028.194626613,845582.674973948,"93",-8.4104060009,7.649393985
564916.911983136,845576.332539725,"94",-8.4114150144,7.6493379939
564848.976717749,845652.967647257,"95",-8.4120299947,7.6500320155
566253.093379945,846496.673736489,"96",-8.3992889989,7.6576459687
565080.468189314,845506.797034437,"97",-8.4099330101,7.6487070043
564914.046305605,845170.365462384,"98",-8.4114460275,7.645665966
561519.967037008,839445.96539979,"99",-8.4422849771,7.5939279981
561154.146737111,840498.532393389,"100",-8.4455890395,7.6034530252
563251.251474445,844055.495888744,"101",-8.426534962,7.635601983
564828.213068993,844948.256120729,"102",-8.412226969,7.643657997
565025.742704812,845523.411268644,"103",-8.410428967,7.648857962
564919.568359402,845574.121423267,"104",-8.411390958,7.649317961
561710.412521227,842647.653305908,"105",-8.440521006,7.622885965
561782.27217256,842694.959797684,"106",-8.439868977,7.623313023
560409.864125854,838518.328714448,"107",-8.4523590188,7.5855500344
560459.050593549,838616.560816991,"108",-8.451912012,7.586438013
560796.656856142,838924.99081967,"109",-8.448848007,7.58922399
561702.216458139,842929.560532404,"110",-8.440592,7.625435991
562843.987734415,843327.84102228,"111",-8.4302359913,7.6290250383
